mcs,time_h,APAP,APAPS,APAPG
0,0,2.32889025646e-10,0,0
60,0.0166666666667,1.49763239616e-05,1.13900228491e-09,7.56481549867e-09
120,0.0333333333333,4.43071577579e-05,3.21562386505e-08,1.73391305422e-07
180,0.05,6.8047069396e-05,1.81845061485e-07,8.12997281767e-07
240,0.0666666666667,8.4600544811e-05,5.52922594562e-07,2.09250611478e-06
300,0.0833333333333,9.62976894056e-05,1.22053675503e-06,3.99132172565e-06
360,0.1,0.000105065917915,2.22486728564e-06,6.40644356794e-06
420,0.116666666667,0.000112074213907,3.57734562894e-06,9.22019460415e-06
480,0.133333333333,0.000117987420191,5.26894096065e-06,1.23257857817e-05
540,0.15,0.000123181246778,7.27723844971e-06,1.56335069704e-05
600,0.166666666667,0.000127870369494,9.57181111823e-06,1.90702593401e-05
660,0.183333333333,0.000132179958445,1.21180852427e-05,2.25772966551e-05
720,0.2,0.000136185159846,1.48800150689e-05,2.61077374717e-05
780,0.216666666667,0.00013993291472,1.78218686005e-05,2.96243687012e-05
840,0.233333333333,0.000143454060855,2.09093673134e-05,3.30978059537e-05
900,0.25,0.00014677007846,2.41103834912e-05,3.65049971162e-05
960,0.266666666667,0.000149896875336,2.73953011459e-05,3.98280192908e-05
1020,0.283333333333,0.000152846930587,3.07371806171e-05,4.30531139925e-05
1080,0.3,0.000155630524516,3.41117776389e-05,4.61699124002e-05
1140,0.316666666667,0.000158256457009,3.74974728976e-05,4.91708110608e-05
1200,0.333333333333,0.000160732477406,4.08751461826e-05,5.20504665069e-05
1260,0.35,0.00016306554996,4.42280183042e-05,5.48053840709e-05
1320,0.366666666667,0.00016526202421,4.75414776121e-05,5.74335816272e-05
1380,0.383333333333,0.000167327749323,5.08029015999e-05,5.99343132579e-05
1440,0.4,0.000169268154541,5.40014804402e-05,6.23078411335e-05
1500,0.416666666667,0.000171088308462,5.71280467668e-05,6.45552464287e-05
1560,0.433333333333,0.0001727929646,6.01749142871e-05,6.66782710238e-05
1620,0.45,0.000174386597645,6.313572664e-05,6.86791872678e-05
1680,0.466666666667,0.000175873433156,6.60053171297e-05,7.05606919407e-05
1740,0.483333333333,0.000177257472394,6.87795794508e-05,7.23243221888e-05
1800,0.5,0.000178542513453,7.145534919e-05,7.39740275216e-05
1860,0.516666666667,0.000179732169437,7.40302956786e-05,7.55164014978e-05
1920,0.533333333333,0.000180829884268,7.65028236509e-05,7.69528641177e-05
1980,0.55,0.000181838946511,7.88719840957e-05,7.82869314731e-05
2040,0.566666666667,0.000182762501554,8.1137393661e-05,7.95223442021e-05
2100,0.583333333333,0.000183603562375,8.32991619701e-05,8.06628605327e-05
2160,0.6,0.000184365019108,8.53578262219e-05,8.17122241168e-05
2220,0.616666666667,0.000185049647571,8.73142924708e-05,8.2674146119e-05
2280,0.633333333333,0.000185660116888,8.91697830152e-05,8.35522889628e-05
2340,0.65,0.000186198996337,9.09257893549e-05,8.43502522186e-05
2400,0.666666666667,0.000186668761494,9.25840302149e-05,8.50715609628e-05
