mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
0	0.0	4.24463985741e-06	0.0	0.0	1.5119194003e-05	0.0	0.0	2.59082508436e-08	0.0	0.0	2.78238046852e-10	0.0	0.0	2.43382487059e-19	0.0	0.0	4.24463985741e-06	0.0	0.0	0.0	0.0	10.0
60	0.0166666666667	0.0217893208599	0.00030159700498	0.000241127691057	0.0195120292128	2.32544382499e-07	1.50157352644e-06	3.3435813259e-05	3.9848805385e-10	2.5730963949e-09	1.0877653626e-05	2.9831295933e-11	2.02517010833e-10	1.80937418068e-09	4.45365069427e-14	2.86578740747e-13	0.0217893208599	0.00030159700498	0.000241127691057	3.20222361644e-07	7.46810933862e-06	9.99999254399
120	0.0333333333333	0.0520366633555	0.00158567210742	0.00119973584763	0.0465560398622	2.33699418873e-06	1.44500970456e-05	7.97784299078e-05	4.00467324181e-09	2.47616862974e-08	4.27847375536e-05	5.49052859076e-10	3.47515152588e-09	3.52088860556e-08	3.13148015171e-12	2.45708018603e-11	0.0520366633555	0.00158567210742	0.00119973584763	7.63796437992e-07	4.01366692171e-05	9.99996000459
180	0.05	0.080941910009	0.00386463393755	0.00277951966355	0.0647001689458	8.05635314302e-06	4.77429373579e-05	0.000110870209506	1.38053667459e-08	8.18122974564e-08	7.650326403e-05	2.4858894806e-09	1.53288484239e-08	1.45414878002e-07	3.53292875799e-11	2.74741526103e-10	0.080941910009	0.00386463393755	0.00277951966355	1.17012372556e-06	9.84144311015e-05	9.99990212852
240	0.0666666666667	0.107691190835	0.00703910840812	0.0048371424259	0.0760843217236	1.84207433262e-05	0.000104957164808	0.000130378093706	3.15657857637e-08	1.79854597614e-07	0.000103721193932	6.74079875981e-09	4.07504518605e-08	3.39341600053e-07	1.71677193847e-10	1.30824445139e-09	0.107691190835	0.00703910840812	0.0048371424259	1.53131008532e-06	0.000179710184607	9.99982165099
300	0.0833333333333	0.132212056228	0.0110072217565	0.00725971304348	0.0835463080261	3.39838695711e-05	0.000186837102993	0.000143164953434	5.8234758897e-08	3.20164059688e-07	0.000124642913674	1.40389091676e-08	8.35314325576e-08	6.02384813282e-07	5.40076002271e-10	4.04412399467e-09	0.132212056228	0.0110072217565	0.00725971304348	1.85052273735e-06	0.000281391350524	9.99972133182
360	0.1	0.154605278391	0.0156762002492	0.00996130165816	0.0886181379031	5.50106832811e-05	0.000292848540986	0.000151856041111	9.42663068705e-08	5.01825259833e-07	0.000141042367698	2.4944511644e-08	1.46455720458e-07	9.18939198819e-07	1.31311129812e-09	9.68892373917e-09	0.154605278391	0.0156762002492	0.00996130165816	2.13259045e-06	0.000401081823623	9.99960365853
420	0.116666666667	0.175019533943	0.0209639509247	0.0128761060105	0.0921341762105	8.15887586886e-05	0.000421939662774	0.000157881124354	1.39810496889e-07	7.2303580613e-07	0.000154372146834	3.9898069416e-08	2.31542514821e-07	1.27746752666e-06	2.69856676207e-09	1.96626880629e-08	0.175019533943	0.0209639509247	0.0128761060105	2.38222238716e-06	0.000536695964383	9.99947081421
480	0.133333333333	0.193613659309	0.0267984228148	0.0159530611471	0.0946038972132	0.000113696419757	0.000572898851012	0.000162113238265	1.94830184896e-07	9.81719471095e-07	0.000165609752305	5.92472608008e-08	3.4023183313e-07	1.67007813202e-06	4.93171234062e-09	3.55408247429e-08	0.193613659309	0.0267984228148	0.0159530611471	2.60362266468e-06	0.000686416444229	9.99932470136
540	0.15	0.210543430824	0.0331164899163	0.0191519941977	0.0963590649523	0.000151246224149	0.000744516592269	0.000165120893702	2.59175529702e-07	1.27580363251e-06	0.000175394569054	8.32696262806e-08	4.73517754579e-07	2.09138809308e-06	8.26946019187e-09	5.90099283607e-08	0.210543430824	0.0331164899163	0.0191519941977	2.80043740367e-06	0.000848661306324	9.99916697646
